RMSD,Trial 01,Trial 02,Trial 03,Trial 04,Trial 05,Trial 06,Trial 07,Trial 08,Trial 09,Trial 10
0.0,-0.04999999999993574,-0.04999999999993728,-0.049999999999938115,-0.0499999999999299,-0.049999999999945824,-0.049999999999936796,-0.04999999999994692,-0.04999999999994944,-0.04999999999994584,-0.049999999999931995
0.05,-1.86334152285352e-07,-1.863341343081283e-07,-1.8633412448032695e-07,-1.8633421871979812e-07,-1.8633403011267008e-07,-1.8633414000221566e-07,-1.86334016157417e-07,-1.863339835609166e-07,-1.8633402994738804e-07,-1.8633419520209896e-07
0.1,-9.643903853058543e-24,-9.6439019922011e-24,-9.643900974906542e-24,-9.643910729818558e-24,-9.643891206730685e-24,-9.643902581607128e-24,-9.643889762196133e-24,-9.643886388071952e-24,-9.643891189621963e-24,-9.643908295455145e-24
0.15,-6.0480722155819395e-46,-6.93188116147921e-51,-6.931880064656743e-51,-6.824787687341282e-36,-6.931869577508851e-51,-6.931881796962635e-51,-6.931867975387563e-51,-6.624469743032431e-30,-6.931869514402481e-51,-6.931887957496591e-51
0.2,-1.7144420599595316e-20,-2.378466619629599e-44,-1.7017876478200185e-57,-3.319047518822172e-14,-2.6175136356895784e-29,-6.083399666280645e-41,-2.2075528277428538e-80,-9.903104617629858e-11,-9.126652100825974e-72,-3.0895991944605718e-34
0.25,-6.749499773618441e-06,-1.8261428252160514e-19,-3.5792591946853983e-28,-0.002248783447133504,-2.1305719675730556e-10,-2.659335773501695e-17,-1.4559740111525147e-44,-0.02056363533767556,-2.79477185077459e-38,-3.2117428380867687e-13
0.3,-0.03703579717976321,-1.9497476623523286e-05,-1.1327674966483957e-09,-0.08365540177586096,-0.02408471121710421,-0.00016144996467048133,-1.3336261273164139e-19,-0.06129782056272001,-1.1885547093189603e-15,-0.0046368692160924044
0.35,-0.33182562473873145,-0.07532465901807134,-0.060841948473612975,-0.11049829651371872,-0.03379481933932201,-0.013612587529308225,-1.6965894317757444e-05,-0.04506056981663861,-0.0007019896027682675,-0.05768328529684311
0.4,-0.4594232478261221,-0.07209917534234753,-0.1459554075676972,-0.19273435867189898,-0.1978492744476175,-1.593974497483194e-11,-0.08550814084403743,-0.0521311261610533,-0.04070299796921565,-0.11770876940732947
0.45,-0.6457255986702448,-0.19493668318850432,-0.7927341439258235,-0.31161429011500075,-0.3539657655647163,-1.6225059017357828e-14,-0.058011220667876784,-0.048059123267743885,-0.09489905379676311,-0.1659453261928155
0.5,-0.9664092913299089,-0.3774397253319977,-1.06965424477701,-0.3904975254243427,-0.5542212314113528,-0.0017756922884780454,-0.03834871572025323,-0.06774062412898357,-0.29914179139914704,-0.3650693974901349
0.55,-1.1420554656089925,-0.27627381516758887,-1.204876382360248,-0.3040654516131916,-0.9104064460394458,-0.023962768672991776,-0.03904809076520599,-0.38659443678093847,-0.669369313072992,-0.2921462407753228
0.6,-1.3199574917873973,-0.499970796473094,-1.5329102251116877,-0.4432159982648791,-1.2944806830844018,-0.08514501696409506,-0.12760611163226548,-0.8753406065391327,-1.290927822308332,-0.5430090073172202
0.65,-1.6177917690184678,-0.5851658133202092,-1.4709699276638255,-0.6022566155212292,-1.3396794797290088,-0.3503896104357685,-0.30872373972404044,-0.8290203725041373,-1.3445764669486975,-1.0881562884345688
0.7,-1.7719538300919373,-0.5796539550875305,-1.556051353697846,-0.6774784893784942,-1.4648206360329374,-0.6627622278111595,-0.3403346140708941,-0.9958472629637644,-1.8015009556269563,-1.7121421503065586
0.75,-1.7940601542239676,-0.7414154010362871,-1.630410474727807,-0.5347816208250455,-1.7295422314543631,-1.0276511296820363,-0.5139660565952996,-0.9543657598580855,-1.9685276246568957,-1.9776574487692178
0.8,-1.8638749657118365,-0.6877713556556071,-1.9657803885735194,-0.41747475689274777,-1.9427642982027553,-1.197127989718273,-0.5740227459766979,-1.1051479162421665,-2.212252807861888,-2.3693482582956107
0.85,-2.058786596155595,-0.8316230469163138,-2.1915430155445073,-0.3791868866869288,-1.971863531458154,-1.2107101901717332,-0.5827248179149034,-1.3104471492150038,-2.5314802959199745,-2.51781640345107
0.9,-2.1834263836857466,-1.0206360499736769,-2.3320814844440116,-0.5337969554467783,-2.1779614034626946,-1.2734428708872985,-0.7178595938850755,-1.1551472615046723,-2.4730462888860187,-2.973895403541125
0.95,-2.134566157641673,-0.814829907595824,-2.3800387704366868,-0.5631303830017795,-2.2044907864622427,-1.5359741004239815,-0.978853593017811,-1.298193391010036,-2.7007280620704126,-3.2363502178132175
1.0,-1.8854993259179467,-0.8621998681624811,-2.3023799410075165,-0.6224157672920384,-2.399918239895317,-1.471804151583288,-0.8762922631935596,-1.3786480166453916,-2.7643727061427663,-3.4292784761643875
1.05,-1.9317242242848816,-0.9192591205971651,-2.2887794702143665,-0.7256700648135587,-2.4460411765900125,-1.2076852358186427,-0.9998798525078608,-1.404277714439474,-2.7559416450924457,-3.4682823409709136
1.1,-1.7613927146250736,-0.9798288432462159,-2.215448155890837,-0.5382770985261418,-2.574139757462058,-1.4165094436738255,-1.1356334933389909,-1.6139850869309487,-2.8186479535545526,-3.5249845719164936
1.15,-1.8627537845472895,-0.989866358804818,-2.381122610823472,-0.6939718345362623,-2.7119487280206056,-1.32671552536808,-1.0693505007627313,-1.3928226466648914,-2.7718381156234098,-3.7051082181554773
1.2,-1.813920846092175,-0.9979102084592381,-2.2133336274011604,-0.49095774844391454,-2.851556914346157,-1.2501429331623672,-1.1578101646619574,-1.4716991701820197,-2.737119070285347,-3.774940165507962
1.25,-1.6050882069205628,-0.9315382409402391,-2.1281281602202977,-0.5721281764760571,-2.844548936525474,-1.078308762675278,-1.1345853517553186,-1.5287411966411195,-2.8464420261999903,-3.7970428709369104
1.3,-1.7358400725716117,-1.1189811630265942,-2.237563025922657,-0.5165726582897859,-2.8461639874973095,-1.3674987143973856,-1.4490780919354722,-1.4815274895846449,-2.7620315119145658,-3.962392206139533
1.35,-1.6849450286911214,-0.8272898645836716,-2.2247941533793543,-0.5648449071250033,-2.907513653043315,-1.2136246930221568,-1.3568056137412317,-1.7400121088701963,-2.7935504778313733,-4.035907486361677
1.4,-1.62081020988676,-1.1916305058138499,-2.115604886171966,-0.5983405575374744,-3.0530922434082433,-1.4259629150036741,-1.4675791160969398,-1.9959365749256148,-2.8060469296029895,-3.962927510430479
1.45,-1.5658209200842261,-1.1256602289186521,-2.2877290812195503,-0.5167711908474988,-2.9545296619741346,-1.3285137903878426,-1.5295043581141374,-2.0302898453663967,-2.903703056789688,-3.845732603314302
1.5,-1.624451019949326,-0.9301709134127057,-2.2024022452037784,-0.5297583280456195,-2.8727262100769964,-1.1816603772821415,-1.6349487261682012,-1.9108537729408863,-2.902479174129011,-3.743323867105103
1.55,-1.5350494006662505,-1.141382019017965,-2.168996159438601,-0.6669753394120184,-3.047418641408103,-1.19640827081043,-1.7718329694507977,-1.860685701786421,-3.0668232841114755,-3.790981682296667
1.6,-1.5408896186947527,-1.220348027519228,-2.1202245445302337,-0.6266280546416924,-3.069739815695044,-1.2720279352228478,-1.6769550410075387,-1.9568751305858958,-3.1515694679069894,-3.648321750832325
1.65,-1.8303921743651417,-1.1142316483521832,-2.2010783332312527,-0.689254370042457,-3.1374913733013505,-1.014121404022769,-2.0535197383775756,-1.9377014549250324,-3.219906664286368,-3.577450428772989
1.7,-1.4791807360474403,-1.033987339452234,-2.2748121916133694,-0.5807436883435865,-3.0275075816050707,-1.28065719055304,-1.9810254323377003,-1.8707596861461162,-3.2818787747004,-3.5615204826866025
1.75,-1.6014581420086234,-1.0027133747264307,-2.477131505235906,-0.8036051646101129,-3.0300958205109065,-1.5092519113063347,-1.9885259862259599,-2.008737119341496,-3.0924991581401344,-3.3790064120393626
1.8,-1.6793750044205558,-0.9750092301788609,-2.486940260060924,-0.6493521264152894,-3.2062072139284794,-1.2655637754903295,-2.0303763437704907,-2.1449832120669567,-3.0812001079034324,-3.3252323319526753
1.85,-1.5797006014861577,-1.2399068066260213,-2.4105161515701647,-0.7323048134745689,-3.082410586834001,-1.3217177852761268,-1.9801359721729865,-2.0576015590266965,-3.148202305326312,-3.160624205550654
1.9,-1.6797333941421102,-1.0962975870481397,-2.431484463450729,-0.6738132674224171,-3.068210125257634,-1.4374161632885096,-2.073529807161653,-2.0200198998648067,-3.0649260188786043,-2.839635601133076
1.95,-1.6132282810953378,-0.8328825729605895,-2.6757713073749283,-0.6544790106376122,-3.027594611539228,-1.4122129944916677,-2.2298837348699614,-2.088180606828398,-2.9982394777372483,-2.6002735036025175
2.0,-1.7447199023984488,-0.8309405392752061,-2.6937154695219694,-0.7079207949679663,-3.0089813694078953,-1.4012593925521022,-2.207410929515117,-2.151427680670812,-2.9970658250586593,-2.3305579291343843
2.05,-1.6972847603776744,-0.7101875902344087,-2.5041376513483433,-0.6515492239828474,-2.991860461865421,-1.4252494395894582,-2.2038252068671826,-1.9794584775674837,-3.0304123335562814,-2.1437474859135244
2.1,-1.3797381860702806,-0.42626675890100146,-2.645695293473398,-0.6575547029298503,-2.7709406135883046,-1.4806210467187781,-2.1245194294808303,-2.054317925868683,-2.914417250812549,-1.8378606816201526
2.15,-1.5365944064873591,-0.5283282919955848,-2.770865012384768,-0.7388319973021259,-2.78924363059166,-1.364389437323102,-1.899592759038546,-2.0667638326095057,-2.7133800919202034,-1.6396788175996708
