RMSD,Trial 01,Trial 02,Trial 03,Trial 04,Trial 05,Trial 06,Trial 07,Trial 08,Trial 09,Trial 10
0.0,-0.04999999999992899,-0.049999999999935076,-0.0499999999999266,-0.04999999999993396,-0.04999999999993007,-0.0499999999999374,-0.04999999999993384,-0.049999999999941244,-0.049999999999941654,-0.04999999999993732
0.05,-1.8633422885573662e-07,-1.8633415998949497e-07,-1.8633425502440353e-07,-1.863341728897005e-07,-1.8633421674198214e-07,-1.8633413293788002e-07,-1.8633417423725136e-07,-1.8633408692688515e-07,-1.8633408190792692e-07,-1.8633413385699772e-07
0.1,-9.64391177900979e-24,-9.6439046505293e-24,-9.643914487780618e-24,-9.64390598585488e-24,-9.643910525091006e-24,-9.64390185036414e-24,-9.643906125342485e-24,-9.643897087677559e-24,-9.643896568155663e-24,-9.643901945503881e-24
0.15,-6.931891713382986e-51,-6.931884027624738e-51,-6.931894633915875e-51,-6.931885467340737e-51,-6.931890361436987e-51,-6.931881008554082e-51,-6.931885617733124e-51,-6.931875873541144e-51,-6.931875313405348e-51,-6.931881111177439e-51
0.2,-2.2845710408039345e-43,-6.919705652841495e-89,-6.91971976972144e-89,-6.919707569090152e-89,-6.919714083088823e-89,-6.919701634485687e-89,-4.926527574079293e-40,-6.919694799832165e-89,-2.6813463818518252e-33,-2.187990615597637e-31
0.25,-7.791052267210991e-19,-7.289577796002337e-61,-1.6954695455474406e-74,-1.0782599375751742e-77,-1.8273913631282542e-101,-1.9215118480799816e-135,-9.814760152660848e-17,-1.7376357815652035e-101,-1.1426770117460203e-12,-1.447243383098705e-11
0.3,-3.6899928172793866e-05,-1.5057003067879e-30,-2.937542421234019e-40,-1.3767746783211024e-42,-1.999316537059258e-60,-4.740331969418824e-87,-0.00027155413271273633,-2.0837700306196058e-60,-0.006762885156009006,-0.013294611253842107
0.35,-0.02427869973131237,-4.319308835660371e-11,-7.068421133541668e-17,-2.4414072092136713e-18,-3.0378722088497412e-30,-1.6322476318711739e-49,-0.012070696446808629,-3.730259707088299e-30,-0.0005885886609763315,-0.0001696085202638436
0.4,-0.09328158146127359,-0.017533193619252412,-0.0002379983180847692,-6.0125060711131256e-05,-6.410551536439404e-11,-7.805510185833963e-23,-0.02365874966777891,-1.0432670129949909e-10,-0.026747001058937105,-0.00018845683325627617
0.45,-0.03604412162962923,-0.03399702554626322,-0.12533707379579678,-0.02056411094451451,-0.01878800674502041,-5.184205225363446e-07,-0.2523984988145196,-0.04914099556138685,-0.24418744163422534,-0.012676071123256654
0.5,-0.15184964912629653,-0.07967144248235442,-0.038645370810566265,-0.06735858089537777,-0.04793785254857467,-0.07327361490412129,-0.10793583773212097,-0.007438576133273396,-0.14226888596336584,-0.02221789496969056
0.55,-0.0670392752392792,-0.19648966438873183,-0.07112083276279428,-0.04125170913977731,-0.06868120606635952,-0.1355031936169356,-0.3098789028503381,-0.04092724495943243,-0.19802893420831705,-0.05910552824379271
0.6,-0.1704092420075567,-0.28077779792846785,-0.1594645048679831,-0.0948932463588888,-0.14470796449924725,-0.06738183547968092,-0.2740485850815816,-0.039373209523983835,-0.3160153170269235,-0.05200953822953592
0.65,-0.1164268167026959,-0.26574246401520885,-0.2628771475655951,-0.18988300956835283,-0.26650150306725234,-0.07170299223584074,-0.23403967247741705,-0.13324261232815568,-0.4654768949216426,-0.1315197115507899
0.7,-0.13597690790288602,-0.21844426460156305,-0.3035916730883245,-0.1278003931390944,-0.19031678524694184,-0.2648120645506112,-0.15307516317750705,-0.23890818806357314,-0.42351140582913055,-0.23337094085690038
0.75,-0.23731203756822916,-0.38067952309581776,-0.30562794331442367,-0.23821270197627537,-0.209700442427215,-0.12352444506509713,-0.3242419552441075,-0.5060403895863268,-0.5779751266327889,-0.3812430055151283
0.8,-0.34236131095569367,-0.26617282010474885,-0.5969253491959529,-0.41368960324131876,-0.1882986480026422,-0.14898865335057512,-0.4945891904988956,-0.6035921361708964,-0.5578356964674673,-0.4186412203702965
0.85,-0.5500588177398515,-0.17194159508578732,-0.841089704463102,-0.5339285654385499,-0.17914371037657487,-0.3198380694749206,-0.34624227792993556,-0.848232761182552,-0.4343680089917235,-0.4469657213332505
0.9,-0.37024119766932584,-0.4070192660067839,-0.9844637620952397,-0.4557110790465551,-0.0835551920649056,-0.3415122007696267,-0.417618256849447,-0.8922564114561875,-0.46645040525989,-0.5318461556670772
0.95,-0.557134330779246,-0.647055518068312,-1.0183721196874291,-0.5749139056632541,-0.2455378116762507,-0.23173644544219119,-0.4611118267930421,-0.9894175051964871,-0.5389417410652348,-0.6505998683645559
1.0,-0.40752497914902974,-0.737129728265889,-0.9229112011179703,-0.8358180352955513,-0.1917103512072275,-0.3486533592746147,-0.5187034445200047,-1.172609573023082,-0.6823143451761957,-0.7887295718369243
1.05,-0.5736249228770127,-0.6880418702156296,-1.0028611110849814,-0.8129717812110772,-0.19986969310151134,-0.2372364934492063,-0.35295021226564566,-1.2868319015509109,-0.7071800103493076,-0.7294294461459203
1.1,-0.8448988402109193,-0.8869362587167383,-1.1315577733810875,-0.893675345195497,-0.15328285414204543,-0.425332214918416,-0.40374253389218645,-1.4614520522257513,-0.7386035297471039,-0.7062593522478222
1.15,-0.8238713366773462,-1.033316119210234,-1.1537286205883182,-1.0872728930023854,-0.15664869371028686,-0.30085447181050073,-0.45052481983714615,-1.5427923577730256,-0.755938888293033,-0.8376977159966187
