RMSD,Trial 01,Trial 02,Trial 03,Trial 04,Trial 05,Trial 06,Trial 07,Trial 08,Trial 09,Trial 10
0.0,-0.04999999999993038,-0.049999999999945165,-0.04999999999994498,-0.049999999999932265,-0.04999999999992554,-0.04999999999992523,-0.049999999999944096,-0.04999999999995023,-0.04999999999994157,-0.04999999999993979
0.05,-1.8633421334538863e-07,-1.8633403848495303e-07,-1.8633404081260613e-07,-1.8633419214682865e-07,-1.8633426648563175e-07,-1.8633426982531902e-07,-1.8633405181722277e-07,-1.8633397319209631e-07,-1.8633408293861848e-07,-1.8633410453117623e-07
0.1,-9.64391017350287e-24,-9.643892073361506e-24,-9.643892314301192e-24,-9.643907979197975e-24,-9.643915674155466e-24,-9.64391601985326e-24,-9.643893453409853e-24,-9.64388531477615e-24,-9.643896674844595e-24,-9.643898909931458e-24
0.15,-6.931889982363202e-51,-6.931870467228411e-51,-6.931870727003938e-51,-6.931887616515996e-51,-6.931895913037295e-51,-6.931896285760583e-51,-6.931871955162553e-51,-7.822997879860788e-17,-6.93187542843458e-51,-6.931877838250767e-51
0.2,-6.919713578544672e-89,-6.91968760408315e-89,-1.2802866628526862e-62,-6.919710429623036e-89,-1.2327095547573129e-76,-8.184232149660945e-89,-6.919689584508785e-89,-0.00024836929921790525,-6.91969420739977e-89,-8.422828978750363e-60
0.25,-1.230244610747744e-68,-2.3415356263218827e-67,-8.945986276200333e-32,-1.9360348806175408e-91,-8.119013887316418e-42,-1.9718330904722728e-51,-2.429126548188043e-100,-0.01095117108387756,-9.59314498833152e-138,-8.18181839945736e-30
0.3,-4.929674835699137e-36,-4.029746940719294e-35,-8.681348411953242e-12,-8.324705156818742e-53,-7.546999457988654e-18,-4.451201769485762e-24,-1.4493814820468575e-59,-6.7059643506180505e-12,-5.753607753042029e-109,-1.110709732198554e-10
0.35,-2.743361433562089e-14,-9.631473432121447e-14,-0.011699952467736778,-4.9712145490902495e-25,-0.0001130855776614652,-1.561394402004899e-07,-1.2010282657899097e-29,-4.293150592485066e-05,-3.304561852549363e-66,-0.03094559248496016
0.4,-0.0021202435418835384,-0.0031970315277600166,-0.00040692046380804835,-4.12309366638638e-08,-0.13527362984933286,-0.09680874843242193,-1.382170759872662e-10,-0.055650018487764144,-2.635879010406751e-34,-0.03760361623166658
0.45,-0.020781575935278275,-0.10476841453877137,-0.05041685239934182,-0.05616527131103789,-0.20373298772746942,-0.04206293219670919,-0.022090631258709286,-0.16993238651927417,-2.9199506313965083e-13,-0.09337496497887396
0.5,-0.09384799454994239,-0.26995083694379146,-0.009632233477669843,-0.027425885302612946,-0.4451193882729261,-0.19552876217251774,-0.012313690993642679,-0.20890240250955375,-0.004517797193467446,-0.24011366967953066
0.55,-0.20652850435066716,-0.7060534477359984,-0.0345709224435298,-0.06464215478617621,-0.6938646451940655,-0.32249617101753725,-0.03677385082596392,-0.2215900324335156,-0.028062527400530782,-0.23933726499398542
0.6,-0.3003600689908132,-1.0546813405246047,-0.04945528913616908,-0.17331855525837123,-0.9112693475122841,-0.48393391761448584,-0.18839864529660486,-0.0926930787595208,-0.2677814369230728,-0.3343916302373766
0.65,-0.25692286440912765,-1.1021114153363154,-0.14493094422185168,-0.01987045127629735,-0.9369950255922038,-0.5627448343546746,-0.10519060164674077,-0.1497512799430994,-0.35040494334401895,-0.4867545648897471
0.7,-0.48279357906195136,-1.5170686015847714,-0.1784131688760035,-0.0541637967892933,-1.1100719513241701,-0.735742119640704,-0.32537455561787026,-0.3494728292664245,-0.31603895322316383,-0.6881050456810248
0.75,-0.28556413045890494,-1.729586354285148,-0.36715566601536925,-0.06039912069320396,-1.2742325753695902,-0.6399895878118521,-0.373124011703107,-0.22144249288648046,-0.5164041774268093,-0.5816114995231229
0.8,-0.3249192879616582,-1.775441255297957,-0.46575234676783955,-0.08422724118764528,-1.3390455255128657,-0.45365298859890146,-0.48021113879947835,-0.26853257475317915,-0.5930085910844412,-0.7160306348761422
0.85,-0.5370272711486539,-1.8482662791849442,-0.579985323650591,-0.05365110450850886,-1.316758240038045,-0.5358453098704442,-0.48378737946473105,-0.3340393611787944,-1.0211949299232876,-0.8575882483583179
0.9,-0.6641376469229914,-1.9629072283880618,-0.7196209865587916,-0.6307581786883484,-1.2489110914345491,-0.4957489723053616,-0.2092911517602499,-0.5590807090357647,-0.865062131572741,-0.7650977674158712
0.95,-0.4194332491825924,-2.1271731493054076,-0.9041996755178705,-1.0127503859933824,-1.2180899950509603,-0.6283007611019715,-0.2895959988781376,-0.5759708795991612,-1.3474453430748388,-0.5239399835665651
1.0,-0.5028130308662296,-2.000355474982067,-0.993201415950552,-1.2247098169680186,-1.2451536781211532,-0.5314901340060785,-0.43440434834850755,-0.9810155693110445,-1.5505270808695453,-0.8102480384487816
1.05,-0.676077690347684,-2.135317484866119,-1.0990344388561557,-1.4905811216889773,-1.2854872589415833,-0.38282686483349726,-0.6460506727700567,-1.139011952834956,-1.785831371844419,-0.8078776471076458
