RMSD,Trial 01,Trial 02,Trial 03,Trial 04,Trial 05,Trial 06,Trial 07,Trial 08,Trial 09,Trial 10
0.0,-0.04999999999993773,-0.04999999999993392,-0.04999999999993813,-0.049999999999921885,-0.04999999999993017,-0.049999999999943284,-0.04999999999993823,-0.04999999999992677,-0.049999999999931245,-0.049999999999930135
0.05,-1.8633412895501784e-07,-1.8633417332872795e-07,-1.8633412429114161e-07,-1.8633430554945574e-07,-1.8633421569989135e-07,-1.86334061922025e-07,-1.863341231161724e-07,-1.8633425314631067e-07,-1.863342036383262e-07,-1.8633421607575328e-07
0.1,-9.643901438090401e-24,-9.643906031299497e-24,-9.64390095532347e-24,-9.643919717730796e-24,-9.643910417222072e-24,-9.643894499377002e-24,-9.643900833700224e-24,-9.643914293375597e-24,-2.5622088837639186e-21,-9.643910456128345e-24
0.15,-1.1509965721366585e-27,-6.931885516338032e-51,-6.931880043543045e-51,-6.931900272726377e-51,-6.931890245135583e-51,-6.931873098899551e-51,-1.0514000297171774e-31,-6.931894424312803e-51,-2.777185964044145e-06,-2.177598999924444e-21
0.2,-1.6806748610782774e-09,-3.18248561449026e-66,-6.919700355443585e-89,-7.468014627762442e-69,-2.5468026422217467e-42,-1.286290599459525e-29,-9.585762994019915e-12,-5.6542912731333264e-71,-0.14786921166325664,-2.5906350698155088e-06
0.25,-0.03408855470009619,-2.572882059851795e-34,-8.940649764884126e-58,-3.450409303400434e-36,-3.637040371139053e-18,-1.4360810622528203e-10,-0.014763057083013344,-1.0285806314266607e-37,-0.986671524138258,-0.04280525921384146
0.3,-0.27198824784037373,-2.8887586615712206e-13,-2.0639841213759184e-28,-2.2139816893902398e-14,-8.053701213600373e-05,-0.023423189669530383,-0.045711560497649725,-2.6744941409565955e-15,-1.5757437708412845,-0.10475386747978326
0.35,-0.6982107840577082,-0.004504437807437753,-6.617311421032841e-10,-0.001972946850021425,-0.05764010590581138,-0.25291515627894273,-0.09744576569328944,-0.001172678513770033,-2.136937793097039,-0.4920487477496877
0.4,-0.9932585330712621,-0.0010773828806937347,-0.029473068337805317,-0.0024471123596775243,-0.47646192906689616,-0.525011083793436,-0.3132941288534577,-0.36149373114366035,-2.4614192465010394,-0.5570000825295482
0.45,-1.5069650276820055,-0.20577577117797627,-0.1398135486178931,-0.09136128843700353,-0.552669529899917,-0.530865210571229,-0.5366110739512755,-0.5199171180731305,-2.710332298501455,-0.5936989434175308
0.5,-1.6690633673418234,-0.3092630556143096,-0.2158133321262384,-0.004528169636213879,-0.7899639625385847,-0.6908225969541709,-0.43160901956864717,-0.9596178258759585,-2.937352326842762,-0.6393407637101276
0.55,-2.0388481031298884,-0.3676196763954087,-0.13206155453599824,-0.1258129710362108,-0.7428430272114582,-0.5866117046331046,-0.6452251051451336,-1.2380403645534106,-3.1690651171095694,-0.6654317603184255
0.6,-1.9963861122511504,-0.5948812666640926,-0.36184792933822596,-0.12160592233381905,-1.0426657226135403,-0.5263261614041306,-0.5821915869189448,-1.515081686270281,-3.3245931320129922,-0.693581191279609
0.65,-2.0905067505793595,-0.7654001957772181,-0.3927685568972119,-0.10846944262023138,-1.061657907328289,-0.8699019039603051,-0.6291721957583134,-1.6563809388327866,-3.3760147961746707,-0.6561856808330228
0.7,-2.3500622050170836,-0.934292003223247,-0.39676651434117927,-0.3436650217208932,-1.053486628975454,-1.018293666807183,-0.6530197067547708,-1.6267941441577054,-3.4777966503586915,-0.6834304210582723
0.75,-2.1367933466201965,-1.032732601908355,-0.5526994255547548,-0.7256393122318366,-0.9841967766683151,-0.9700299915318089,-0.7265034652204586,-1.7771108607340795,-3.2827536879229573,-0.6293553772423521
