RMSD,Trial 01,Trial 02,Trial 03,Trial 04,Trial 05,Trial 06,Trial 07,Trial 08,Trial 09,Trial 10
0.0,-0.049999999999935055,-0.049999999999946435,-0.04999999999994412,-0.04999999999992882,-0.04999999999994423,-0.04999999999994129,-0.04999999999993555,-0.04999999999994111,-0.04999999999993653,-0.049999999999937664
0.05,-1.8633416027764716e-07,-1.8633402234233565e-07,-1.8633405161097432e-07,-1.8633423075752856e-07,-1.863340501193214e-07,-1.8633408633209094e-07,-1.8633415452046602e-07,-1.8633408855400736e-07,-1.8633414306730613e-07,-1.8633412978901267e-07
0.1,-9.643904680356523e-24,-9.64389040240878e-24,-9.64389343206059e-24,-9.643911975867993e-24,-9.643893277656798e-24,-1.0493321155459806e-23,-9.643904084419613e-24,-9.643897256104165e-24,-9.643902898880677e-24,-9.643901524418702e-24
0.15,-3.175747522768114e-36,-6.93186866564887e-51,-7.012922385584459e-26,-6.931891925630722e-51,-6.931871765670046e-51,-5.438116807433807e-08,-7.862164569033002e-51,-7.385879760563414e-51,-2.667329408246967e-21,-3.5207164255838523e-31
0.2,-2.105768729308138e-14,-7.33545583128976e-89,-1.5492601169743107e-08,-6.919716165017212e-89,-1.7607086299387648e-78,-0.04835971875932948,-2.5195054931100455e-24,-1.6591880406575588e-24,-2.873188222117615e-06,-1.897303337837966e-11
0.25,-0.00193915859124218,-8.391612981143993e-52,-0.09332400077739145,-3.2287314954364295e-76,-3.648306153274266e-43,-0.36802211167621035,-9.476639279421812e-08,-9.384896828518227e-08,-0.08962673143142995,-0.014199741865407739
0.3,-0.003987353622831303,-2.3522043143239586e-24,-0.47834838431561444,-1.6485138799782825e-41,-1.0498639201230782e-18,-1.037347925148056,-0.04971271133287954,-0.09505023701374374,-0.2149383789934377,-0.0190288364888954
0.35,-0.23993609809580285,-9.156776009373709e-08,-0.6474006655967767,-1.1962233708378886e-17,-4.1957799048435435e-05,-1.5485361087611589,-0.1364281634681097,-0.08404923620744781,-0.5330663482814493,-0.025898257954721546
0.4,-0.30544303262331973,-0.04950488937879779,-0.8855712690483001,-0.0001403385829630527,-0.02463735655906666,-2.0717780606475986,-0.19365085358221884,-0.4921698695594054,-0.9903756714895623,-0.030117065699225776
0.45,-0.740088687975588,-0.025908069342823845,-1.1528852087969041,-0.08478750392072056,-0.006426593199513945,-2.3715596184888903,-0.21502152745565067,-0.25252459384921394,-1.2444137232733286,-0.18732958681347647
0.5,-0.7315064884471923,-2.9841306780887082e-05,-1.288718965655095,-0.15564015230259926,-0.0663903286061225,-2.4761339997437415,-0.34293529721025867,-0.32276001455961756,-1.3641651566782085,-0.3813682109960695
0.55,-1.0390569296329066,-0.01232820632121192,-1.3667958718049615,-0.1430426903924137,-0.22967989658170151,-2.7411980270793905,-0.34480249013032505,-0.37496701567554075,-1.5617316432279242,-0.3633483462874972
0.6,-1.2604542448777276,-0.00019768046179292396,-1.4747457250858709,-0.534224155886255,-0.5103813262637675,-2.802918739753077,-0.1990752419614726,-0.3046960056911119,-1.7243345685079192,-0.5711253585708261
0.65,-1.5854199710561572,-0.06219967608822613,-1.4472620922097905,-0.6368568153463028,-0.7580396388974885,-2.834497033182061,-0.19433914436677463,-0.22851948432528288,-1.6009470768944059,-0.41887321173060804
0.7,-1.885141625109946,-0.12305794296821664,-1.3350163946182907,-0.8539530537531698,-1.4978605669840628,-2.696047358381964,-0.24986003715445687,-0.2638600693750113,-1.5425156474352466,-0.5531823988508459
