RMSD,Trial 01,Trial 02,Trial 03,Trial 04,Trial 05,Trial 06,Trial 07,Trial 08,Trial 09,Trial 10
0.0,-0.049999999999930045,-0.049999999999935874,-0.04999999999992391,-0.04999999999992647,-0.049999999999937206,-0.04999999999993215,-0.049999999999932376,-0.049999999999935985,-0.049999999999934784,-0.049999999999939454
0.05,-1.8633421710050782e-07,-1.863341507463847e-07,-1.8633428398642072e-07,-1.8633425640517938e-07,-1.8633413516576783e-07,-1.863341935303056e-07,-1.863341908693621e-07,-1.8633414952645513e-07,-1.8633416339825228e-07,-1.8633410857879919e-07
0.1,-9.643910562202565e-24,-9.643903693757033e-24,-9.643917485697412e-24,-9.643914630707504e-24,-9.643902080977084e-24,-9.643908122404342e-24,-9.643907846965056e-24,-9.6439035674796e-24,-9.6439050033765e-24,-9.643899328908724e-24
0.15,-6.931890401450571e-51,-6.931882996055968e-51,-5.273046757646379e-37,-6.931894788016211e-51,-6.931881257195254e-51,-6.931887770917511e-51,-6.931887473945397e-51,-1.294328609610127e-19,-4.546673874527836e-22,-6.93187828998185e-51
0.2,-1.0203953637885158e-32,-7.866109436236029e-46,-8.845710819233387e-15,-3.06308405984791e-45,-4.11940591887912e-43,-2.3864751971989448e-49,-5.256972898406528e-33,-1.9177719159210433e-05,-1.5289932966656668e-06,-1.1912916297782644e-36
0.25,-2.50091978226002e-12,-2.027091694720881e-20,-0.002189255002138037,-6.048829267243124e-20,-1.127355350532326e-18,-1.0110279541779873e-22,-2.0895478224137916e-12,-0.2120095839431094,-0.1060850600212176,-1.1663174107294211e-14
0.3,-0.010477737514218391,-7.2547895241661185e-06,-0.2709194027723425,-2.067499839511431e-05,-4.2855973361836595e-05,-5.948498476666863e-07,-0.01279835365404048,-0.5519189469187528,-0.7559825961854393,-0.001593025975569073
0.35,-0.002837861357150621,-0.045595285116168935,-0.6712646224762048,-0.2298999763622426,-0.1013340835177057,-0.04862689242369547,-0.17408016534126156,-0.965496988799259,-1.2420685604035455,-0.08389076663082161
0.4,-0.11094844226404903,-0.04406754130823207,-1.5036307057277178,-0.5117805419204176,-0.19207429305484788,-0.02858497204084698,-0.43326953148412395,-1.202287996998848,-1.6878050829160012,-0.3439631598201583
0.45,-0.10466402303672223,-0.13423858404053646,-1.7024998150439405,-0.7625823370908015,-0.6918215485930527,-3.97923521623279e-09,-1.0342178579882757,-1.206846097161078,-1.8494368911608536,-0.48785064746278806
0.5,-0.37783718556832196,-0.012689673293442753,-2.0246294114878203,-1.2089922187351156,-0.9361628048023097,-0.039825968790906524,-1.4792260721785606,-1.294888460440353,-2.097407855966523,-0.8055933731016973
0.55,-0.7751597223632756,-0.20108822578605895,-2.35796809470842,-1.2602392877050252,-1.2102250829259336,-0.1652043169813091,-1.7561139410087254,-1.3578623493491908,-2.258219056932499,-1.406893075211083
0.6,-0.6539580117569239,-0.3160266282484991,-2.6220184147746797,-1.5392534718454274,-1.1633229233563975,-0.032365620356984114,-2.0804201904609974,-1.2595501914652805,-2.480662499439489,-1.4975112003175404
0.65,-0.8255399009808977,-0.2690155988026418,-2.9577413273342414,-1.4158606704402281,-1.661021317483289,-0.1875967092973874,-2.1319181083277385,-0.9819691549199482,-2.497573008046967,-1.7049929824353545
0.7,-0.9594392624499387,-0.15245979411488858,-3.13082613302566,-1.5758684861988173,-1.968290499410967,-0.2664658832681593,-2.2118026822526184,-0.7436112028652886,-2.623710546014094,-1.8960540167340827
0.75,-1.0900746753483506,-0.18754973190929736,-3.343445331232829,-1.323071348938918,-2.132006186876563,-0.4975275346662527,-2.4009721173661704,-0.8170046481198582,-2.698265265459879,-2.123131494406694
0.8,-0.827970770257432,-0.21108111009974934,-3.535587783037348,-1.3556704700884665,-2.164539528679686,-0.3214991389097206,-2.5249085993066656,-0.6799087133260476,-2.606368191526723,-2.2417852675820815
0.85,-0.6953867297111253,-0.348471994578617,-3.7628872070417017,-1.4003146132335265,-1.9105028711205105,-0.5521995506709677,-2.6449806518482486,-0.7967882474574446,-2.4645459388848887,-2.4567123002780087
0.9,-0.9944292495783115,-0.41492057060860416,-3.804983776392142,-1.3476840069055058,-1.9801572621448285,-0.3426774466237168,-2.5065306500312503,-0.8842222602042831,-2.1102944411777216,-2.551281642228792
0.95,-0.8451662398040475,-0.5513709374921953,-3.8004716199108,-1.3371372775458206,-2.00468916242673,-0.6048706403122113,-2.529240078440034,-1.1762240614429027,-2.033917000335547,-2.713742039349615
